Year,Month,Day,Date,Carapetyan Address,Carapetyan Country,Sender,Recipient,Substance of Correspondence,Archive,Archival Signature,Notes
1951,3,10,1951-3-10,"Hacienda de Santa Ana, Arroya de la Miel, Malaga",Spain,Harriette Carapetyan,Otto Gombosi,"""It has been a wonderful experience — new, fresh and quite different – to be in Spain. At the moment it is almost pioneering, for Armen [Carapetyan] has gone to Madrid on the beginning of a very very long institute journey. He shan't return for another month.""","Harvard University, Eda Kuhn Loeb Music Library","Otto Gombosi Papers, Ms. Coll. 136, Box 10",
1951,3,31,1951-3-31,"C.P.515, San Silvestro, Rome",Italy,Edward Lowinsky,Armen Carapetyan,"""I did not go at all into the problems connected with 'Pecorina' except for reporting about the Treviso copy of the Musica Nova with the handwritten remark of 'Pecorina…' I added in a footnote that this seemed to me to confirm your hypothesis as to an early Pecorina print which was the predecessor of the Musica nova.""","University of Chicago, Hanna Holborn Gray Special Collections Research Center","Edward E. Lowinsky Papers, Box 56, Folder 6",
1951,5,13,1951-5-13,on TWA flight to Boston,,Armen Carapetyan,Otto Gombosi,"Carapetyan will stay in the United States for a month. ""I have I think told you that [Walter] Gerstenberg will carry on with Willaert - in good and speedy order.""","Harvard University, Eda Kuhn Loeb Music Library","Otto Gombosi Papers, Ms. Coll. 136, Box 10",
1951,5,30,1951-5-30,Cambridge,United States,Armen Carapetyan,Otto Gombosi,Carapetyan discusses the Capirola Lutebook edition.,"Harvard University, Eda Kuhn Loeb Music Library","Otto Gombosi Papers, Ms. Coll. 136, Box 10",
1951,6,1,1951-6-1,"1430 Massachusetts Avenue, Cambridge",United States,Otto Gombosi,Armen Carapetyan,Gombosi speaks highly of Gustave Reese.,"Harvard University, Eda Kuhn Loeb Music Library","Otto Gombosi Papers, Ms. Coll. 136, Box 10",
1951,7,6,1951-7-6,"Hacienda de Santa Ana, Arroya de la Miel, Malaga",Spain,Armen Carapetyan,Gustave Reese,"Carapetyan visited with Gustave Reese recently; he is ready now to resume his membership in the AMS; he would like to attend the AMS congress in December, but not sure if he can attend.","New York Public Library, Library for the Performing Arts","JPB 92-71 (Gustave Reese papers), Series 1, Folder 192–194",
1951,7,6,1951-7-6,"Arroyo de la Miel, Málaga",Spain,Armen Carapetyan,Otto Gombosi,Gustave Reese suggests that he resume his membership in the AMS.,"Harvard University, Eda Kuhn Loeb Music Library","Otto Gombosi Papers, Ms. Coll. 136, Box 10",
1951,7,16,1951-7-16,"Hacienda de Santa Ana, Arroya de la Miel, Malaga",Spain,Gustave Reese,Armen Carapetyan,No formal reinstatement for the AMS neccessary; Reese suggests that Carapetyan get in contact with Charles Warren Fox about presenting a paper.,"New York Public Library, Library for the Performing Arts","JPB 92-71 (Gustave Reese papers), Series 1, Folder 192–194",
1951,8,3,1951-8-3,,,Armen Carapetyan,Joseph Schmidt-Görg,"""It would be very helpful if you gave me, as soon as you can, an approximate estimate of the number of pages that [Nicolas] Gombert's Opera Omnia would comprise. I want this information for the calculation of the price of the entire edition.""",Private,"Private Nachlass Joseph Schmidt-Görg, Folder 578",
1951,8,13,1951-8-13,"Hacienda de Santa Ana, Arroya de la Miel, Malaga",Spain,Heinrich Besseler,Armen Carapetyan,"""Beim Betrachten der 3. Bände [Adrian] Willaert bin ich begeistert von dem wirklich hervorragenden Eindruck dieser Publikation: man darf Ihnen herzlich gratulieren, daß das Unternehmen nun gesichert ist und in so hervorragender Form weiter läuft!""",Universitätsarchiv Leipzig,NA Besseler (Nachlass Heinrich Besseler) 15,
1951,8,19,1951-8-19,,,Armen Carapetyan,Joseph Schmidt-Görg,"Carapetyan discusses the first and second proofs of Nicolas Gombert's masses: ""I have worked arduously on your introduction. The translation is impossible. Not only its English is entirely defective, but in many passages the meaning is hopelessly obscure, and in a number of instances your meaning has been entirely distorted. In some cases, your own original is ambiguous."" Carapetyan aims to publish the volume in September; he floats the idea of publishing a free edition (a couple of masses, fifteen to twenty motets, half a dozen chansons).",Private,"Private Nachlass Joseph Schmidt-Görg, Folder 578",
1951,9,20,1951-9-20,,,Armen Carapetyan,Edward Lowinsky,Carapetyan acknowledges receipt of Lowinsky's letter.,"University of Chicago, Hanna Holborn Gray Special Collections Research Center","Edward E. Lowinsky Papers, Box 56, Folder 6",
1951,10,14,1951-10-14,"Hacienda de Santa Ana, Arroya de la Miel, Malaga",Spain,Gustave Reese,Armen Carapetyan,"Reese inquires about a possible recent article on Adrian Willaert's ""Liber quinque missarum"" (Venice: Francesco Marcolini da Forli, 1536) and asks for a citation.","New York Public Library, Library for the Performing Arts","JPB 92-71 (Gustave Reese papers), Series 3, Folder 100 (Music in the Renaissance, chapter 7)",
1951,10,19,1951-10-19,,,Joseph Smits van Waesberghe,Corpus Scriptorum de Musica editors,"""After the brief period of two years it appears that several prospective contributors to [Corpus Scriptorum de Musica] are well behind schedule time."" Smits van Waesberghe asks the editors to recall Article VIII of the contract: if insufficient progress is made, AIM can reassign the edition, and the author is liable to repay the advance payment and all materials given to him; contracts are governed by the law of the Commonwealth of Massachusetts.",Private,"Private Nachlass Joseph Schmidt-Görg, Folder 578",
1951,10,28,1951-10-28,Sitges,Spain,Armen Carapetyan,Gustave Reese,Carapetyan asks Walter Gerstenberg about the article on Adrian Willaert's masses.,"New York Public Library, Library for the Performing Arts","JPB 92-71 (Gustave Reese papers), Series 1, Folder 192",
1951,10,28,1951-10-28,,Spain,Harriette Carapetyan,Gustave Reese,"""We were at the last pot, pan and pin of packing when your letter came asking about the [Adrian] Willaert article. My husband dictated letters both to you and Dr. [Walter] Gerstenberg. Fortunately I did send off the letter to Dr. Gerstenberg, but, alas, the enclosed note has waited all of a week to be typed – I simply couldn't manage everything efficiently in the rush of our departure. At any event, I hope that you will soon have a word from Dr. Gerstenberg.""","New York Public Library, Library for the Performing Arts","JPB 92-71 (Gustave Reese papers), Series 1, Folder 192",
1951,12,29,1951-12-29,,,Armen Carapetyan,John Ward,Carapetyan has for two months been detained in Spain due to an expired international car license; he expects to be off to Italy any day.,"Harvard University, Harvard Theatre Collection","John Milton Ward papers, ca. 1942–1996, 2007MTW-1 Folder C",
1952,1,15,1952-1-15,"C.P.515, San Silvestro, Rome",Italy,Richard S. Hill,Armen Carapetyan,"Hill is getting reviewers for CMM volumes for ""Notes"" (Gustave Reese for Adrian Willaert; Edward Lowinsky for Antoine Brumel and Clemens non Papa). Carapetyan had cancelled his subscription to ""Notes"" at some point.","University of Maryland, Special Collections","Music Library Association Archives, Record Group 6, Notes, Box 2-MLA, Carapetyan, Armen",
1952,3,28,1952-3-28,,,Armen Carapetyan,Gustave Reese,"Since the end of September, Carapeytan has been on his way to Italy; he was detained owing to a missing international document for the car. He is searching for a villa and may decide on a villa of the Pandolfini, in order to set up the workshop for printing. Carapetyan's collected-works edition for Antoine Brumel has ""aroused the storm in some quarters that was to be expected, and the very gratifying letters that were not expected."" ""As regards [James C.] Thomson, he had offered me the edition and I had asked for some further information,"" but Carapetyan has not heard since a bit of communication some months ago. Carapetyan would like to discuss MD with Reese.","New York Public Library, Library for the Performing Arts","JPB 92-71 (Gustave Reese papers), Series 1, Folder 192–194",
1952,4,8,1952-4-8,Florence,Italy,Armen Carapetyan,Edward Lowinsky,"""I was detained in that God-forsaken country, Spain, about five months for the great offense of an expired document of my car.""","University of Chicago, Hanna Holborn Gray Special Collections Research Center","Edward E. Lowinsky Papers, Box 56, Folder 6",
1952,4,8,1952-4-8,"C.P.515, San Silvestro, Rome",Italy,Armen Carapetyan,Richard S. Hill,"Carapetyan is baffled that his Cambridge office cancelled his ""Notes"" subscription.","University of Maryland, Special Collections","Music Library Association Archives, Record Group 6, Notes, Box 2-MLA, Carapetyan, Armen",
1952,5,9,1952-5-9,"C.P.515, San Silvestro, Rome",Italy,Gustave Reese,Armen Carapetyan,Reese has considerable interest in Catherine Brooks leading the collected-works edition for Antoine Busnoys; he is still finishing up Music in the Renaissance.,"New York Public Library, Library for the Performing Arts","JPB 92-71 (Gustave Reese papers), Series 1, Folder 192–194",
1952,6,20,1952-6-20,"C.P.515, San Silvestro, Rome",Italy,Armen Carapetyan,Otto Kinkeldey,"Carapetyan thanks Kinkeldey for his praise with respect to the Antoine Brumel mass; he notes that he hears from his brother about Kinkeldey, with whom Carapetyan's brother has been glad to be in contact.","Cornell University, Division of Rare and Manuscript Collections","Otto Kinkeldey Papers, 1902-1966, Box 2, Folder 5",
1952,7,5,1952-7-5,"C.P.515, San Silvestro, Rome",Italy,Frank C. Campbell,Armen Carapetyan,Edward Lowinsky still has not received the Antoine Brumel and Clemens non Papa volumes.,"University of Maryland, Special Collections","Music Library Association Archives, Record Group 6, Notes, Box 2-MLA, Carapetyan, Armen",
1952,9,3,1952-9-3,,,Armen Carapetyan,Richard S. Hill,Carapetyan was at the 1952 IMS conference in Utrecht; he regrets not having the opportunity to spend more time together.,"University of Maryland, Special Collections","Music Library Association Archives, Record Group 6, Notes, Box 2-MLA, Carapetyan, Armen",
1952,9,12,1952-9-12,Florence,Italy,Armen Carapetyan,Edward Lowinsky,"AIM has sent copies of Antoine Brumel and Clemens non Papa to Lowinsky, pleased that he will review, ""even Brumel, whose transcription will of course disturb some."" ""[Heinrich] Besseler, as you may by now know, is definitely settled in Jena (a great pity). He has been well and of course very busy. Materially he has been far better off. But he was not able to come to Utrecht for the [IMS] Congress, and that was depressing, and for me inconvenient, since I had many things to discuss with him.""","University of Chicago, Hanna Holborn Gray Special Collections Research Center","Edward E. Lowinsky Papers, Box 56, Folder 6",
1952,10,17,1952-10-17,"C.P.515, San Silvestro, Rome",Italy,Edward Lowinsky,Armen Carapetyan,"""About [Heinrich] Besseler I feel exactly as you do. I am under no illusions whatever about the course of developments in the Eastern zone. I fear he will have to pay a heavy price, as time goes on, for the economic advantages offered him.""","University of Chicago, Hanna Holborn Gray Special Collections Research Center","Edward E. Lowinsky Papers, Box 56, Folder 6",
1952,11,17,1952-11-17,"Villa Pandolfini, Antella (Firenze)",Italy,Gustave Reese,Armen Carapetyan,B. Kahmann's second article in MD omits sixteen pieces by Antoine Févin; Music in the Renaissance is at last in galley proof.,"New York Public Library, Library for the Performing Arts","JPB 92-71 (Gustave Reese papers), Series 1, Folder 192–194",
1953,5,21,1953-5-21,"La Chaumière, Vence, Alpes-Maritimes",France,André Jurres,Armen Carapetyan,"The new Jacob Obrecht edition by Albert Smijers is not ready; Carapetyan has not paid dues in 1951, 1952, or 1953.","The Hague City Archives, Nederlands Muziek Instituut","Koninklijke Vereniging voor Nederlandse Muziekgeschiedenis Archives, Folder 337",
1954,3,5,1954-3-5,,,Harriette Carapetyan,Vereniging voor Nederlandse Muziekgeschiedenis,"Carapetyan directs the Vereniging voor Nederlandse Muziekgeschiedenis to send catalogues to Carapetyan's Tucson address (Box 853, Tucson, Arizona).","The Hague City Archives, Nederlands Muziek Instituut","Koninklijke Vereniging voor Nederlandse Muziekgeschiedenis Archives, Folder 338",
1954,3,24,1954-3-24,"P.O.Box 1649, Tucson, Arizona",United States,Armen Carapetyan,Gustave Reese,"""As you see I am back amidst the cacti. But my family remain in Europe. I returned here to dispose of the house I built last year, as it seemed impossible yet to pull out of Europe and carry on with the Institute satisfactorily. We are weary of our vagrant life and I am still trying to work out a solution. I hope to be able to come to decision within the year"", ""I cannot without indelicacy speak to [Richard] Hill, who wrote me about the question some time ago, of a present to another.""","New York Public Library, Library for the Performing Arts","JPB 92-71 (Gustave Reese papers), Series 1, Folder 192",
1954,3,31,1954-3-31,"P.O.Box 1649, Tucson, Arizona",United States,Gustave Reese,Armen Carapetyan,Reese would like vols. 2 and 3 of the Adrian Willaert edition. The printing for Music in the Renaissance has been completed and is just waiting for binding.,"New York Public Library, Library for the Performing Arts","JPB 92-71 (Gustave Reese papers), Series 1, Folders 192–194",
1954,6,10,1954-6-10,,,Otto Kinkeldey,John Ward,"""[Jacques Handschin] also said he had been frightened by a rumor that Carapetyan was going bankrupt, which disquieted [sic.] him greatly. But he seems to feel now that the bankruptcy will not come to pass.""","Harvard University, Harvard Theatre Collection","John Milton Ward papers, ca. 1942–1996, 2007MTW-1 Folder K",
1954,7,5,1954-7-5,"P.O. Box 853, Tucson, Arizona",United States,André Jurres,Armen Carapetyan,"Jurres has not received the membership fee for the current year. If he does not receive them by 1 October, he will have Carapetyan's membership card presented as a form of payment.","The Hague City Archives, Nederlands Muziek Instituut","Koninklijke Vereniging voor Nederlandse Muziekgeschiedenis Archives, Folder 340",
1954,8,15,1954-8-15,"Tucson, Arizona",United States,Armen Carapetyan,Gustave Reese,"""I have been hounded by at least two German musicologists about [Jean] Mouton. I have held everything in suspense about Mouton. My last letters to [Andrew] Minor and to [Josephine] Shine on the subject went without a reply from either of them. This was three years ago and I wrote them from Spain. There is just the chance that the letters did not reach them, for we found out that mail in Spain was more or less a gamble, especially in the province of Malaga. Anyhow, I am not necessarily eager to start work on Mouton.""","New York Public Library, Library for the Performing Arts","JPB 92-71 (Gustave Reese papers), Series 1, Folder 192",
1954,9,16,1954-9-16,"P.O.Box 1649, Tucson, Arizona",United States,Gustave Reese,Armen Carapetyan,"Now having vols. 2 and 3 of the Adrian Willaert edition, Reese intends to write a review for ""Notes""; Josephine Shine and Andrew Minor would certainly have responded, so the mail in Spain must have gone astray.","New York Public Library, Library for the Performing Arts","JPB 92-71 (Gustave Reese papers), Series 1, Folders 192–194",
1954,10,22,1954-10-22,"P.O.Box 1649, Tucson, Arizona",United States,Armen Carapetyan,R.J.A. Lagas,"""I have repeatedly inquired through our office in Amsterdam about the Society's organ, issues of which are distributed to members, and which seems the only benefit of membership by a non-Dutch. Yet for years I have received not a single issue! This raises the question of precisely which side is in default! Last spring I instructed our Amsterdam office to pay my membership fee, but not before finding out why I did not receive the aforesaid publication. Until now I have had no report of a reply from you. Instead I receive a notice through a bank!""","The Hague City Archives, Nederlands Muziek Instituut","Koninklijke Vereniging voor Nederlandse Muziekgeschiedenis Archives, Folder 338",
1954,10,30,1954-10-30,"P.O.Box 1649, Tucson, Arizona",United States,R.J.A. Lagas,Armen Carapetyan,"As secretary of the Vereniging voor Nederlandse Muziekgeschiedenis, Lagas notes that during some of these years, the ""Tijdschrift der Vereeniging voor Noord-Nederlands Muziekgeschiedenis"" did not appear; Collecting membership fees through a bank is normal in the Netherlands.","The Hague City Archives, Nederlands Muziek Instituut","Koninklijke Vereniging voor Nederlandse Muziekgeschiedenis Archives, Folder 339",
1954,11,27,1954-11-27,"P.O.Box 1649, Tucson, Arizona",United States,Armen Carapetyan,Richard S. Hill,Carapetyan suggests that they exchange space in their publications for advertisement; this had been done in the past.,"University of Maryland, Special Collections","Music Library Association Archives, Record Group 6, Notes, Box 2-MLA, Carapetyan, Armen",
1954,12,28,1954-12-28,"P.O.Box 1649, Tucson, Arizona",United States,Armen Carapetyan,John Ward,Carapetyan asks Ward if he wants to publish a volume of Spanish music about which Ward had told Carapetyan at the 1952 IMS conference in Utrecht.,"Harvard University, Harvard Theatre Collection","John Milton Ward papers, ca. 1942–1996, 2007MTW-1 Folder C",
1955,1,27,1955-1-27,"P.O.Box 1649, Tucson, Arizona",United States,Armen Carapetyan,Richard S. Hill,"There is less interest from Hill on exchanging space, but Hill offered a rate card.","University of Maryland, Special Collections","Music Library Association Archives, Record Group 6, Notes, Box 2-MLA, Carapetyan, Armen",
1955,2,11,1955-2-11,"P.O.Box 1649, Tucson, Arizona",United States,Armen Carapetyan,Richard S. Hill,"Carapetyan would need for MD's subscription to be three times as large in order to be a ""business proposition"" (i.e., profitable).","University of Maryland, Special Collections","Music Library Association Archives, Record Group 6, Notes, Box 2-MLA, Carapetyan, Armen",
1955,2,16,1955-2-16,"P.O.Box 1649, Tucson, Arizona",United States,Gustave Reese,Armen Carapetyan,"In a (lost) letter from 4 February 1955, Carapetyan asked Reese if he would serve as American Editor of MD, but given all his obligations, Reese asks for more time to think about it.","New York Public Library, Library for the Performing Arts","JPB 92-71 (Gustave Reese papers), Series 1, Folders 192–194",
1955,3,26,1955-3-26,"P.O.Box 1649, Tucson, Arizona",United States,Dragan Plamenac,Armen Carapetyan,Plamenac withdraws from the editorship of the Loyset Compere collected-works edition.,"Yale University, Irving S. Gilmore Music Library","MSS 45 (Dragan Plamenac Papers), Box 1, Folder 1",
1955,3,31,1955-3-31,"P.O.Box 1649, Tucson, Arizona",United States,Armen Carapetyan,Gustave Reese,"To make things easier, Carapetyan withdraws invitation; he did not know that Reese was associated with Carl Fischer.","New York Public Library, Library for the Performing Arts","JPB 92-71 (Gustave Reese papers), Series 1, Folders 192–194",
1955,8,3,1955-8-3,"Tucson, Arizona",United States,Armen Carapetyan,John Ward,"Carapetyan is leaving for Europe indefinitely. ""We shall again operate from Europe, but we shall have a subscription and distribution center on this side, at Dallas, Texas."" There was an Amsterdam office, but ""they never managed to do things right (and that is why we had to discontinue the office there).""","Harvard University, Harvard Theatre Collection","John Milton Ward papers, ca. 1942–1996, 2007MTW-1 Folder C",
1955,8,,1955-8,"Tucson, Arizona",United States,John Ward,Armen Carapetyan,Ward discusses lost copies of CMM volumes.,"Harvard University, Harvard Theatre Collection","John Milton Ward papers, ca. 1942–1996, 2007MTW-1 Folder C",
1955,12,20,1955-12-20,"C.P.515, San Silvestro, Rome",Italy,Gustave Reese,Armen Carapetyan,"Reese is in touch with Catherine Brooks; he assures Carapetyan that Brooks is working with Reese on the Antoine Busnoys chansons, and they are making steady progress through the pieces; the edition should be finished by Spring 1956.","New York Public Library, Library for the Performing Arts","JPB 92-71 (Gustave Reese papers), Series 1, Folders 192–194",
1956,4,11,1956-4-11,,,Armen Carapetyan,Gerhard Croll,Carapetyan is not sure about publishing Croll's 1954 dissertation on Gaspar van Weerbeke; MSD has been problematic and published mostly esoteric scholarship so far.,Universität Salzburg,The Gaspar van Weerbeke Archives,
1956,10,4,1956-10-4,"P.O.Box 1649, Tucson, Arizona",United States,Armen Carapetyan,John Ward,"""Are you able to tell me in what state you found Otto [Gombosi]'s work on [Hayne van] Ghizegem? As you know he was to edit [Alexander] Agricola and Ghizegem. Both composers have been re-assigned, and the Agricola man needs no material; but [C. W. H.] Lindeburg (Holland) would very much like to benefit by Otto's work, with of course due credit to the latter. All our CMM and CSM contracts have the following provision: Article X -""The author agrees to provide that in the event of death before the completion of the work, all pertinent material will be surrendered by his heirs to AIM. In such a case AIM will pay the heirs a just compensation for the material received. Any advance payment(s) made to the author will be reckoned in such compensation."", ""My wife wrote to Anne [Gombosi], as we understood that she is the legal heir, but we have had no response, and we imagine the possibility of human elements playing a part, since Otto had in his last adventures been in rather close touch with me.""","Harvard University, Harvard Theatre Collection","John Milton Ward papers, ca. 1942–1996, 2007MTW-1 Folder C",
1957,1,21,1957-1-21,"P.O.Box 1649, Tucson, Arizona",United States,Armen Carapetyan,Josephine Waters Bennett,"Carapetyan encloses some information to be reproduced in ""Renaissance News.""","New York Public Library, Library for the Performing Arts","JPB 92-71 (Gustave Reese papers), Series 5, Folder 330 (Carapetyan, Armen)",
1957,2,12,1957-2-12,"P.O.Box 1649, Tucson, Arizona",United States,Armen Carapetyan,Edward Lowinsky,"Carapetyan is at his winter home. He recounts the unraveling of Father P. J. De Bruijn's project [presumably, his translation of Ghiselin Danckerts's ""Sopra una differentia musicale... contra Don Nicola Vicentino""].","University of Chicago, Hanna Holborn Gray Special Collections Research Center","Edward E. Lowinsky Papers, Box 56, Folder 6",
1957,3,2,1957-3-2,"P.O.Box 1649, Tucson, Arizona",United States,Edward Lowinsky,Armen Carapetyan,Lowinsky offers details about his projects.,"University of Chicago, Hanna Holborn Gray Special Collections Research Center","Edward E. Lowinsky Papers, Box 56, Folder 6",
1958,5,19,1958-5-19,"The Old House, Strettington, Chichester, Sussex, England",United Kingdom,Armen Carapetyan,Edward Lowinsky,"""I brought my family to England last autumn, chiefly to put our children to private schools here. I shall be here, and at the above address, until September; then probably on the Continent. The Dallas and Rome addresses will always serve.""","University of Chicago, Hanna Holborn Gray Special Collections Research Center","Edward E. Lowinsky Papers, Box 56, Folder 6",
1958,7,21,1958-7-21,"The Old House, Strettington, Chichester, Sussex, England",United Kingdom,Armen Carapetyan,Edward Lowinsky,"Father P. J. de Bruijn came to Rome in 1946, with requests from Albert Smijers. Joseph Smits van Waesberghe held on to De Bruijn's manuscript for two years and made Carapetyan lie to cover his tardiness; all of this led to a rupture between Carapetyan and De Bruijn. ""Although for some years my attention has turned chiefly to earlier epochs, the 16th century has by no means been out of sight. There is so much in that century that is yet to be gone into."" ""You may have noticed that another volume of [Adrian] Willaert finally came out, after having been bogged down for five years between engraver, printers (Italians!) and editor. I keep pushing Prof. [Walter] Gerstenberg, as also [Joseph] Schmidt-Görg, both of them very nice men but not furious workers in editing. With [Hermann] Zenck I daresay the Willaert edition would by now be near its end.""","University of Chicago, Hanna Holborn Gray Special Collections Research Center","Edward E. Lowinsky Papers, Box 56, Folder 6",
1959,3,2,1959-3-2,,,Clytus Gottwald,Armen Carapetyan,"Gottwald, a graduate student, reaches out to Carapetyan, to ask if he could edit the works of Johannes Ghiselin, about whom he is writing a dissertation. He has transcribed all the works by the composer.",Paul Sacher Stiftung,"Sammlung Clytus Gottwald, Korrespondenz -1970 [Ordner 1a + 1b] - unbearbeitet","I think not 1958, as my notes indicate"
1959,4,2,1959-4-2,,,Armen Carapetyan,Clytus Gottwald,Carapetyan is theoretically interested and asks for more information. He also would like Gottwald to prepare an article for MD.,Paul Sacher Stiftung,"Sammlung Clytus Gottwald, Korrespondenz -1970 [Ordner 1a + 1b] - unbearbeitet",
1959,5,8,1959-5-8,,,Clytus Gottwald,Armen Carapetyan,Gottwald provides Carapetyan material for a potential Johannes Ghiselin edition.,Paul Sacher Stiftung,"Sammlung Clytus Gottwald, Korrespondenz -1970 [Ordner 1a + 1b] - unbearbeitet",
1959,7,9,1959-7-9,,,Armen Carapetyan,Heinrich Besseler,Carapetyan asks if they should keep to the same paper made specially for Guillaume Du Fay in Italy and which has been sitting for ten years; it is complicated to import the paper to Germany; he is off to Holland where 18 publications have been delayed.,Universitätsarchiv Leipzig,NA Besseler (Nachlass Heinrich Besseler) 15,
1959,9,4,1959-9-4,,,Armen Carapetyan,Clytus Gottwald,"Carapetyan responds that he would be pleased to publish: “I have always been particularly interested in bringing to light the works of lesser known composers, especially of the 15th century.”",Paul Sacher Stiftung,"Sammlung Clytus Gottwald, Korrespondenz -1970 [Ordner 1a + 1b] - unbearbeitet",
1959,9,9,1959-9-9,Florence,Italy,Armen Carapetyan,Gaston Allaire,"Carapetyan responds to Allaire that he is theoretically interested in a Claudin de Sermisy edition; he needs a sense of scope and the current condition of preparation. ""Production does not become easier as time passes.""",Libraries and Archives Canada,"Gaston Allaire fonds (R12303-0-0-E), Folder 2 (Correspondence)",
1959,10,19,1959-10-19,,,Armen Carapetyan,Gustave Reese,"""I will not conceal that, after so many years of teaching, it was somewhat of a disappointment to me not to teach. But I have been trying to do my bit to put tools in the hands of those who teach and those who study."" He notes that Catherine Brooks seems to have disappeared. ""Even [Guillaume] Dufay has been roused from his slumbers, for [Heinrich] Besseler has finally returned to him and we have a new volume in preparation at the printers!""; names as possible composers to focus on [Marbrianus] de Orto, [Johannes] Stochem, [Alexander] Agricola, [Johannes] Martini; Carapetyan may pass on the Agricola edition; after Otto Gombosi's death, Agricola was delayed and went to the Germans, who did nothing. Edward Lerner is now the editor.","New York Public Library, Library for the Performing Arts","JPB 92-71 (Gustave Reese papers), Series 1, Folders 192–194",
1959,10,31,1959-10-31,Florence,Italy,Armen Carapetyan,Edward Lowinsky,"Carapetyan is using three printers in Holland, two in Germany, three in Italy, alongside own print-shop in America; he will spend winter months in Southern France on account of Harriette Carapetyan's health.","University of Chicago, Hanna Holborn Gray Special Collections Research Center","Edward E. Lowinsky Papers, Box 56, Folder 6",
1959,11,16,1959-11-16,"Le Rouret, Alpes-Maritimes",France,Edward Lowinsky,Armen Carapetyan,Lowinsky is hard at work on a book on the Medici Codex and would need time before turning to Giovanni Spataro and Ghiselin Danckerts.,"University of Chicago, Hanna Holborn Gray Special Collections Research Center","Edward E. Lowinsky Papers, Box 56, Folder 6",
1959,11,18,1959-11-18,"C.P.515, San Silvestro, Rome",Italy,Gustave Reese,Armen Carapetyan,"Catherine Brooks has had ""abominable bad luck in obtaining philologically acceptable versions of the [Antoine Busnoys] texts""; the edition should be ready by Spring; Edward H. Clinkscale and Ronald Cross have not finished their dissertations.","New York Public Library, Library for the Performing Arts","JPB 92-71 (Gustave Reese papers), Series 1, Folders 192–194",
1959,12,21,1959-12-21,,,Armen Carapetyan,Dragan Plamenac,Carapetyan did not realize that Plamenac was preparing a Faenza Codex edition.,"Yale University, Irving S. Gilmore Music Library","MSS 45 (Dragan Plamenac Papers), Box 1, Folder 1",
1960,1,2,1960-1-2,"Le Rouret, Alpes-Maritimes",France,Dragan Plamenac,Armen Carapetyan,"Plamenac is annoyed that Carapetyan would state his intention to publish the edition, when Plamenac had staked a claim as early as 1953 and written so in ""Die Musik in Geschichte und Gegenwart.""","Yale University, Irving S. Gilmore Music Library","MSS 45 (Dragan Plamenac Papers), Box 1, Folder 1",
1960,1,9,1960-1-9,"Le Rouret, Alpes-Maritimes",France,Armen Carapetyan,Dragan Plamenac,"Carapetyan is not a fan of Plamenac's attitude and would not have remembered something announced in 1953. On the Capirola Lutebook, Carapetyan writes ""suddenly there was absolute silence, at the cost of monumental discourtesy on the part of the library and surprising behaviour on [Otto] Gombosi's part, who must have been drawn into a relative corruption (though we remained friends to the end).""","Yale University, Irving S. Gilmore Music Library","MSS 45 (Dragan Plamenac Papers), Box 1, Folder 1",
1960,2,9,1960-2-9,"Le Rouret, Alpes-Maritimes",France,Dragan Plamenac,Armen Carapetyan,Plamenac will discuss Carapetyan's letter with Gilbert Reaney.,"Yale University, Irving S. Gilmore Music Library","MSS 45 (Dragan Plamenac Papers), Box 1, Folder 1",
1960,2,11,1960-2-11,"Le Rouret, Alpes-Maritimes",France,Armen Carapetyan,Gustave Reese,"""I fear I have touched [Dragan] Plamenac's toes."" He writes to Catherine Brooks about Antoine Busnoys.","Yale University, Irving S. Gilmore Music Library","MSS 45 (Dragan Plamenac Papers), Box 1, Folder 1",
1960,2,11,1960-2-11,"Le Rouret, Alpes-Maritimes",France,Armen Carapetyan,Gustave Reese,Carapetyan's work appears to have doubled in the past year. He may have upset Dragan Plamenac by including a partial facsimile of the Faenza Codex in MD; Edward E. Clinkscale has written to correct and complete the faulty Antoine Févin article.,"New York Public Library, Library for the Performing Arts","JPB 92-71 (Gustave Reese papers), Series 1, Folders 192–194",
1960,2,14,1960-2-14,,,Clytus Gottwald,Armen Carapetyan,Gottwald started with Johannes Ghiselin's motets (there will be three volumes in total); he will send the second volume in February 1960.,Paul Sacher Stiftung,"Sammlung Clytus Gottwald, Korrespondenz -1970 [Ordner 1a + 1b] - unbearbeitet",
1960,2,29,1960-2-29,"Le Rouret, Alpes-Maritimes",France,Armen Carapetyan,Edward Lowinsky,Lowinsky wants to publish the Giovanni Spataro letters; Carapetyan wants translation to English without original and suggests publishing in installments in MD.,"University of Chicago, Hanna Holborn Gray Special Collections Research Center","Edward E. Lowinsky Papers, Box 56, Folder 6",
1960,3,17,1960-3-17,"Le Rouret, Alpes-Maritimes",France,Gustave Reese,Armen Carapetyan,Reese appreciates the article dedicated to Gustave Reese in MD; Gilbert Reaney has acted as a goodwill ambassador for MD with respect to the Dragan Plamenac/Faenza Codex issue.,"New York Public Library, Library for the Performing Arts","JPB 92-71 (Gustave Reese papers), Series 1, Folders 192–194",
1960,3,25,1960-3-25,"Le Rouret, Alpes-Maritimes",France,Armen Carapetyan,Gerhard Croll,Carapetyan asks about the Gaspar van Weerbeke edition and now thinks a volume in MSD would be positive.,Universität Salzburg,The Gaspar van Weerbeke Archives,
